name,city,country,lon,id,citations,lat,order,avg
?enate?,Istanbul,Turkey,28.949661300000002,1958,63,41.013843,first,21.0
Abdelmalek,Rochester,United States,-77.6155548,73,784,43.1547845,first,261.3333333333333
Abdirad,Tehran,Iran,51.424446100000004,1007,47,35.671944399999994,last,47.0
Abiru,Nagasaki,Japan,129.86833190000002,307,136,32.755,first,136.0
Abrams,Birmingham,United States,-86.8024902,290,431,33.5206608,first,86.2
Abu-Shanab,Cork,Ireland,-8.4958334,176,200,51.898611100000004,first,200.0
Aburada,Tokyo,Japan,139.69168090000002,1569,50,35.6895266,last,25.0
Adams,Rochester,United States,-77.6155548,184,364,43.1547845,first,121.33333333333333
Adar,Jerusalem,Israel,35.2333336,1960,21,31.766666700000002,first,21.0
Afdhal,Boston,United States,-71.0597763,834,104,42.358430799999994,last,52.0
Afonso,Lisbon,Portugal,-9.1333332,1628,27,38.716666700000005,first,27.0
Afzali,Seattle,United States,-122.33206940000001,692,140,47.6062095,first,70.0
Agarwal,Delhi,India,77.2166672,1616,28,28.6666667,first,28.0
Aggarwal,Lucknow,India,80.91666409999999,1053,45,26.85,last,45.0
Agopian,Los Angeles,United States,-118.24368290000001,472,97,34.0522342,first,97.0
Aguilar-Zapata,Mexico City,Mexico,-99.1386108,1217,39,19.4341667,last,39.0
Ahmad,Pittsburgh,United States,-79.9958878,353,160,40.440624799999995,last,80.0
Ahmed,Birmingham,United Kingdom,-1.9166667000000002,1341,293,52.466666700000005,first,58.6
Aithal,Nottingham,United Kingdom,-1.1504745,80,343,52.95360229999999,first,343.0
Ajamieh,Canberra,Australia,149.128067,1692,26,-35.2834625,first,26.0
Akyol,Ankara,Turkey,32.8644447,1766,88,39.9272222,last,22.0
Al,Charlotte,United States,-80.84312440000001,1979,21,35.2270869,last,21.0
Al-Osaimi,Charlotte,United States,-80.84312440000001,1218,39,35.2270869,last,39.0
Alatalo,Tampere,Finland,23.787117000000002,1000,48,61.4991132,last,48.0
Albano,Novara,Italy,8.616834599999999,724,124,45.440565,last,41.333333333333336
Alberti,Padova,Italy,11.881808300000001,771,64,45.415194,last,64.0
Ali,San Antonio,United States,-98.4936295,631,146,29.4241219,first,73.0
Alisi,Rome,Italy,12.4833336,705,188,41.9,first,47.0
Alkhouri,Cleveland,United States,-81.69541170000001,424,302,41.499495399999994,first,50.333333333333336
Allard,Toronto,Canada,-79.4163055,391,505,43.7001138,first,63.125
Allbright,Denver,United States,-104.98470309999999,1275,37,39.7391536,last,37.0
Alsina,Tampa,United States,-82.4584274,1333,35,27.9475216,last,35.0
Altomare,Foggia,Italy,15.549250599999999,419,274,41.460932,last,68.5
Amarapurkar,Mumbai,India,72.8479385,1045,176,19.01441,first,35.2
Amato,Palermo,Italy,13.3597612,1102,43,38.1158198,first,43.0
Ampuero,Sevilla,Spain,-5.9869442,1942,21,37.3772222,first,21.0
An,Beijing,China,116.3972244,896,167,39.9074977,last,33.4
Anandan,Chennai,India,80.27847290000001,1479,31,13.0878385,last,31.0
Anania,Atlanta,United States,-84.3879852,1730,47,33.7489954,last,23.5
Anderson,Boston,United States,-71.0597763,1967,21,42.358430799999994,first,21.0
Andrade,Salvador,Brazil,-38.510833700000006,1321,72,-12.971111099999998,last,36.0
Andreoletti,Dijon,France,5.016666900000001,1901,22,47.3166667,last,22.0
Angelico,Rome,Italy,12.4833336,562,142,41.9,first,47.333333333333336
Angulo,Rochester,United States,-77.6155548,7,2291,43.1547845,first,208.27272727272728
Anjani,Paris,France,2.3487999,1885,22,48.85341,first,22.0
Anstee,London,United Kingdom,-0.1255327,628,77,51.508415299999996,first,77.0
Anty,Nice,France,7.2660827999999995,372,278,43.7031261,first,69.5
Aoyagi,Niigata,Japan,139.0500031,1016,47,37.9166667,last,47.0
Aoyama,Tokyo,Japan,139.69168090000002,1387,244,35.6895266,first,81.33333333333333
Arab,Santiago,Chile,-70.66666409999999,1582,28,-33.45,first,28.0
Aramin,Tehran,Iran,51.424446100000004,765,64,35.671944399999994,last,64.0
Aranha,Lisbon,Portugal,-9.1333332,871,57,38.716666700000005,first,57.0
Archimandritis,Athens,Greece,23.7333336,570,210,37.9833333,last,52.5
Arendt,Toronto,Canada,-79.4163055,1361,34,43.7001138,first,34.0
Argo,Charlotte,United States,-80.84312440000001,109,518,35.2270869,first,103.6
Arguello,Santiago,Chile,-70.66666409999999,1201,39,-33.45,first,39.0
Arii,Tokyo,Japan,139.69168090000002,1070,45,35.6895266,last,45.0
Armstrong,Birmingham,United Kingdom,-1.9166667000000002,854,57,52.466666700000005,first,57.0
Arora,Delhi,India,77.2166672,1977,21,28.6666667,last,21.0
