name,citations,order
?enate?,1,1
Abdelmalek,1,1
Abdirad,1,1
Abiru,1,1
Abrams,2,2
Abu-Shanab,1,1
Aburada,1,1
Adams,1,1
Adar,1,1
Adorini,1,1
Afdhal,1,1
Afonso,1,1
Afzali,1,1
Agarwal,1,1
Aggarwal,1,1
Agopian,1,1
Aguilar-Zapata,1,1
Ahmad,1,1
Ahmed,2,2
Aithal,1,1
Ajamieh,1,1
Akyol,1,1
Al Osaimi,1,1
Al-Osaimi,1,1
Alatalo,1,1
Albano,1,1
Alberti,1,1
Ali,1,1
Alisi,1,1
Alkhouri,1,1
Allard,2,2
Allbright,1,1
Alsina,1,1
Altomare,1,1
Amarapurkar,2,2
Amato,1,1
Ampuero,1,1
An,1,1
Anandan,1,1
Anania,1,1
Anderson,1,1
Andrade,1,1
Andreoletti,1,1
Angelico,1,1
Angulo,2,2
Anjani,1,1
Anstee,1,1
Anty,1,1
Aoyagi,1,1
Aoyama,2,2
Arab,1,1
Aramin,1,1
Aranha,1,1
Archimandritis,1,1
Arendt,1,1
Argo,2,2
Arguello,1,1
Arii,1,1
Armstrong,1,1
Arora,1,1
Arrese,2,2
Arulanandan,1,1
Arun,1,1
Arvaniti,1,1
Asano,2,2
Asanuma,1,1
Asaoka,1,1
Ascha,1,1
Ashford,1,1
Ashktorab,1,1
Ashraf,1,1
Askari,1,1
Aso,1,1
Asrih,1,1
Assy,2,2
Ataseven,1,1
Athyros,1,1
Aubert,1,1
Auguet,1,1
Avery,1,1
Ayata,1,1
Ba-Ssalamah,1,1
Baba,1,1
Bacon,2,2
Baeck,1,1
Bagheri,1,1
Bahcecioglu,1,1
Bahrami,1,1
Bailey,1,1
Baker,2,2
Balaban,1,1
Balakrishnan,1,1
Balas,1,1
Ballestri,1,1
Balmer,1,1
Bambha,2,2
Banasch,1,1
Bantel,1,1
Baptista,1,1
Baratta,1,1
Barchetta,1,1
Barker,1,1
Barreyro,1,1
Basaranoglu,1,1
Baskol,1,1
Bass,1,1
Bast,1,1
Bastati,1,1
Batteux,1,1
Batts,1,1
Baumann,1,1
Bazick,1,1
Bañares Cañizares,1,1
Beath,2,2
Bechmann,1,1
Becker,1,1
Bedogni,1,1
Bedossa,2,2
Beglinger,1,1
Begriche,1,1
Bekri,1,1
Bell,1,1
Belle,1,1
Bellentani,2,2
Belt,1,1
Bendtsen,1,1
Benhamou,1,1
Berasain,1,1
Beraza,1,1
Berenguer,1,1
Beretta,1,1
Berg,1,1
Bergheim,1,1
Bernsmeier,1,1
Bertola,1,1
Berzigotti,1,1
Beste,1,1
Bettaieb,1,1
Beymer,1,1
Beyo?lu,1,1
Bhagat,1,1
Bhansali,1,1
Bieghs,1,1
Biyikli,1,1
Blackburn,1,1
Boettcher,1,1
Bohinc,1,1
Bojunga,1,1
Bonora,1,1
Boparai,1,1
Boppidi,1,1
Borlak,1,1
Bosch,1,1
Boursier,1,1
Boza,1,1
Brabant,1,1
Brault,1,1
Brenner,2,2
Bril,1,1
Brock,1,1
Brown,2,2
Browning,1,1
Bruce,1,1
Brunt,2,2
Buckingham,2,2
Buechler,2,2
Bugianesi,2,2
Buldak,1,1
Burke,1,1
Burroughs,1,1
Burt,2,2
Busuttil,1,1
Buurman,1,1
Buzzetti,1,1
Byrne,2,2
Caballero,1,1
Caiazzo,1,1
Calamita,1,1
Caldwell,2,2
Calès,1,1
Camilo,1,1
Cammà,1,1
Campos,2,2
Canbakan,1,1
Canbay,1,1
Canet,1,1
Cao,1,1
Capeau,2,2
Capristo,1,1
Caracausi,1,1
Carbone,1,1
Cariou,2,2
Carpino,1,1
Carr,1,1
Carstoiu,1,1
Carter-Kent,1,1
Carulli,2,2
Casini,1,1
Cassard-Doulcier,1,1
Cassiman,1,1
Castera,2,2
Castro,2,2
Catalina,1,1
Cauble,1,1
Cavallo,1,1
Cave,1,1
Cayón,1,1
Cazanave,1,1
Ceccarelli,1,1
Celebi,1,1
Celinski,1,1
Centis,1,1
Cervinkova,1,1
Chait,1,1
Chalasani,2,2
Chamulitrat,1,1
Chan,1,1
Chandak,1,1
Charbonnier,1,1
Charlton,2,2
Chatzigeorgiou,2,2
Chavakis,1,1
Chavez-Tapia,1,1
Chawla,1,1
Chayama,1,1
Chazin-Caldie,1,1
Chen,2,2
Cherkaoui-Malki,1,1
Chermak,1,1
Cherrington,1,1
Cherñavsky,1,1
Chiang,1,1
Chiba,1,1
Chiesa,1,1
Chihara,1,1
Chitapanarux,1,1
Chitturi,2,2
Chojkier,1,1
Chonchol,1,1
Chopra,1,1
Choudhary,1,1
Choudhuri,1,1
Chowdhry,1,1
Chtioui,1,1
Chtourou,1,1
Chung,1,1
Cianfarani,1,1
Cichoz-Lach,1,1
Ciminnisi,1,1
Clapper,1,1
Clark,2,2
Clarkson,1,1
Clavien,1,1
Clement,1,1
Clements,1,1
Clouse,1,1
Clouston,1,1
Clària,1,1
Clément,1,1
Coffin,1,1
Colak,1,1
Colecchia,1,1
Colin,1,1
Colombo,1,1
Conde,1,1
Cong,1,1
Conget,1,1
Considine,1,1
Cooper,1,1
Copaci,1,1
Cordero,1,1
Corey,1,1
Corrado,1,1
Correig,1,1
Corrêa-Giannella,1,1
Cortez-Pinto,2,2
Cotler,2,2
Cotrim,1,1
Couzigou,1,1
Crabb,1,1
Craxì,1,1
Crespo,1,1
Cuadrado,1,1
Cui,1,1
Cusi,2,2
Dagalp,1,1
Dai,1,1
Daltro,1,1
Daram,1,1
Das,2,2
Dasarathy,2,2
Daubioul,1,1
Davenport,1,1
Davidson,1,1
Davila,1,1
Davis,1,1
Day,2,2
De,1,1
De Andrade,1,1
De Knegt,1,1
De La M Hall,1,1
De Moura,1,1
DePaoli,2,2
Degertekin,1,1
Del,1,1
Del Castillo,1,1
Delgado,2,2
Della,1,1
Delzenne,1,1
Demetris,1,1
Deng,1,1
Denk,1,1
Dennis,1,1
Desai,1,1
Desdouets,1,1
Deugnier,1,1
Dhawan,1,1
Dhillon,1,1
Di,1,1
Di Marco,1,1
Diab,1,1
Diamantis,1,1
Diehl,2,2
Dierkhising,1,1
Dietrich,1,1
Dillon,1,1
