sex,year,athlete,country/state,time
female,1966,Bobbi Gibb,United States (MA),201
female,1967,Bobbi Gibb,United States (CA),207
female,1968,Bobbi Gibb,United States (CA),210
female,1969,Sara Mae Berman,United States (MA),202
female,1970,Sara Mae Berman,United States (MA),185
female,1971,Sara Mae Berman,United States (MA),188
female,1972,Nina Kuscsik,United States (NY),190
female,1973,Jacqueline Hansen,United States (CA),185
female,1974,Miki Gorman,United States (CA),167
female,1975,Liane Winter,West Germany,162
female,1976,Kim Merritt,United States (WI),167
female,1977,Miki Gorman,United States (CA),168
female,1978,Gayle Barron,United States (GA),164
female,1979,Joan Benoit,United States (ME),155
female,1980,Jacqueline Gareau,Canada,154
female,1981,Allison Roe,New Zealand,146
female,1982,Charlotte Teske,West Germany,149
female,1983,Joan Benoit,United States (ME),142
female,1984,Lorraine Moller,New Zealand,149
female,1985,Lisa Larsen Weidenbach,United States (MI),154
female,1986,Ingrid Kristiansen,Norway,144
female,1987,Rosa Mota,Portugal,145
female,1988,Rosa Mota,Portugal,144
female,1989,Ingrid Kristiansen,Norway,144
female,1990,Rosa Mota,Portugal,145
female,1991,Wanda Panfil,Poland,144
female,1992,Olga Markova,Russia,143
female,1993,Olga Markova,Russia,145
female,1994,Uta Pippig,Germany,141
female,1995,Uta Pippig,Germany,145
female,1996,Uta Pippig,Germany,147
female,1997,Fatuma Roba,Ethiopia,146
female,1998,Fatuma Roba,Ethiopia,143
female,1999,Fatuma Roba,Ethiopia,143
female,2000,Catherine Ndereba,Kenya,146
female,2001,Catherine Ndereba,Kenya,143
female,2002,Margaret Okayo,Kenya,140
female,2003,Svetlana Zakharova,Russia,145
female,2004,Catherine Ndereba,Kenya,144
female,2005,Catherine Ndereba,Kenya,145
female,2006,Rita Jeptoo,Kenya,143
female,2007,Lidiya Grigoryeva,Russia,149
female,2008,Dire Tune,Ethiopia,145
female,2009,Salina Kosgei,Kenya,152
female,2010,Teyba Erkesso,Ethiopia,146
female,2011,Caroline Kilel,Kenya,142
female,2012,Sharon Cherop,Kenya,151
female,2013,Rita Jeptoo,Kenya,146
female,2014,Rita Jeptoo,Kenya,138
female,2014,Bizunesh Deba,Ethiopia,139
female,2015,Caroline Rotich,Kenya,144
female,2016,Atsede Baysa,Ethiopia,149
female,2017,Edna Kiplagat,Kenya,141
