date,time,desc,boro,lat,lon
12/31/2016,01:05:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.648265282,-73.955752145
12/30/2016,00:40:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.837321839,-73.9101166
12/26/2016,12:45:00,MURDER & NON-NEGL. MANSLAUGHTER,STATEN ISLAND,40.624236771999996,-74.080755533
12/26/2016,08:14:00,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,40.832111106,-73.948294253
12/26/2016,08:14:00,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,40.832111106,-73.948294253
12/25/2016,12:51:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.646328278,-73.929804249
12/20/2016,20:24:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.83987167,-73.888139806
12/19/2016,18:00:00,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,40.806617895,-73.936765755
12/18/2016,15:31:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.65758692,-73.92905355
12/17/2016,02:20:00,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,40.753874924,-73.98482044
12/14/2016,18:45:00,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,40.809413199,-73.944367164
12/01/2016,19:00:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.841690923,-73.837040057
12/13/2016,20:45:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.820986429,-73.892228964
12/13/2016,18:21:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.679066318000004,-73.915067287
12/11/2016,20:29:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.845984791,-73.907462791
12/11/2016,12:22:00,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,40.669758105999996,-73.802651938
12/11/2016,00:20:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.703807407,-73.952858808
12/09/2016,01:50:00,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,40.799086317,-73.947619211
12/07/2016,15:02:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.638689107,-73.916812154
12/05/2016,00:15:00,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,40.689141332,-73.820854715
12/04/2016,21:17:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.626986011,-73.91401678300001
12/03/2016,20:35:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.837683801,-73.913256606
11/30/2016,10:24:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.667862819,-73.905388469
