source,target,occurences
217068,10.1007/978-3-642-24568-8-6,349
217068,10.1109/CCGRID.2008.104,349
217068,10.1007/978-3-642-25318-8_13,349
217068,10.1109/TE.2010.2080359,349
217068,10.1109/DATE.2008.4484841,349
217068,10.1007/978-3-642-23496-5_2,349
217068,10.1145/1347375.1347377,349
217068,10.1007/978-3-642-19448-1_4,349
217068,10.1007/978-3-642-23397-5_17,349
217068,10.1109/RTAS.2011.34,349
217068,10.1007/s11265-007-0150-x,349
217068,10.1109/HPCC.2011.37,349
217068,10.1007/978-3-642-23400-2_15,349
217068,10.1145/1400112.1400115,349
217068,10.1145/2038698.2038726,349
217068,10.1109/IPDPS.2011.323,349
217068,10.1007/s10766-010-0159-9,349
217068,10.1007/978-3-540-85451-7_56,349
217068,10.1007/978-3-540-77560-7_13,349
217068,10.1145/2086696.2086715,349
217068,10.1007/978-3-540-77560-7_1,349
217068,10.1109/DAC.2008.4555957,349
217068,10.1007/978-3-642-19137-4_12,349
217068,10.1093/comjnl/bxr062,349
217068,10.1007/978-3-642-19475-7_37,349
217068,10.1109/TC.2010.155,349
217068,10.1177/1094342006085022,349
217068,10.1007/978-3-642-23400-2_27,349
217068,10.1007/978-3-540-77560-7_22,349
217068,10.1109/SAMOS.2011.6045483,349
217068,10.1007/978-3-642-20149-3_40,349
217068,10.1145/2103799.2103809,349
217068,10.1145/2016604.2016642,349
217068,10.1007/s11265-007-0152-8,349
217068,10.1109/PDP.2011.38,349
217068,10.1145/1988915.1988918,349
217068,10.1109/TC.2008.28,349
217068,10.1007/978-3-642-23400-2_35,349
217068,10.1109/DSD.2011.38,349
217068,10.1007/978-3-540-85886-7_14,349
217068,10.1007/978-3-642-19861-8,349
217068,10.1007/978-3-642-19475-7_20,349
217068,10.1007/978-3-642-19448-1_13,349
217068,10.1109/IPDPS.2011.218,349
217068,10.1016/j.neunet.2008.06.010,349
217068,10.1109/ReConFig.2011.43,349
217068,10.1145/1341811.1341854,349
217068,10.1109/FPL.2011.72,349
217068,10.1109/CISIS.2011.102,349
217068,10.1109/ISORC.2011.20,349
217068,10.1109/SAMOS.2011.6045455,349
217068,10.1007/978-3-642-19448-1_10,349
217068,10.1109/FPL.2011.26,349
217068,10.1109/SERA.2008.17,349
217068,10.1007/978-3-642-21323-6_2,349
217068,10.1109/IPDPS.2011.23,349
217068,10.1145/1347375.1347389,349
217068,10.1007/978-3-642-19448-1_14,349
217068,10.1109/HiPC.2011.6152736,349
217068,10.1007/978-3-642-19137-4_11,349
217068,10.1109/ATS.2011.21,349
217068,10.1016/j.asoc.2009.11.029,349
217068,10.1145/1964179.1964196,349
217068,10.1007/s10766-008-0073-6,349
217068,10.1093/comjnl/bxm061,349
217068,10.1145/2155620.2155651,349
217068,10.1007/978-3-642-19137-4_7,349
217068,10.1109/ICPP.2011.35,349
217068,10.1016/j.micpro.2011.01.002,349
217068,10.1145/2093157.2093183,349
217068,10.1016/j.jpdc.2011.06.005,349
217068,10.1016/j.sysarc.2013.07.012,349
217068,10.1007/s10766-010-0161-2,349
217068,10.1109/DAC.2008.4555920,349
217068,10.1007/978-3-540-78153-0_14,349
217068,10.1109/HPCA.2011.5749726,349
217068,10.1145/1353522.1353528,349
217068,10.1145/1973009.1973087,349
217068,10.1007/978-3-642-19861-8_16,349
217068,10.1109/CICC.2011.6055297,349
217068,10.1007/978-3-540-77560-7_12,349
217068,10.1109/SCC.2011.26,349
217068,10.1109/ASAP.2011.6043271,349
217068,10.1007/s10766-010-0158-x,349
217068,10.1007/978-3-642-21498-1_8,349
217068,10.1016/j.micpro.2011.08.006,349
217068,10.1109/DATE.2008.4484885,349
217068,10.1109/ISQED.2008.4479816,349
217068,10.1145/1356058.1356080,349
217068,10.1007/s10766-010-0162-1,349
217068,10.1007/978-3-642-21064-8_15,349
217068,10.1145/2016604.2016632,349
217068,10.1145/1383422.1383453,349
217068,10.1109/DELTA.2008.111,349
217068,10.1145/1973009.1973033,349
217068,10.1109/DASIP.2011.6136867,349
217068,10.1007/s10766-010-0132-7,349
217068,10.1109/CCGrid.2011.49,349
217068,10.1109/MMSP.2011.6093785,349
217068,10.1007/978-3-642-19475-7_5,349
217068,10.1109/AICCSA.2011.6126618,349
217068,10.1007/978-3-540-85451-7_49,349
217068,10.1109/NOCS.2008.4492742,349
217068,10.1109/HiPC.2011.6152718,349
217068,10.1145/1944862.1944883,349
217068,10.1007/978-3-642-19137-4_13,349
217068,10.1109/FPL.2011.110,349
217068,10.1145/1376804.1376808,349
217068,10.1109/DATE.2008.4484873,349
217068,10.1007/978-3-540-85451-7_2,349
217068,10.1109/DSD.2011.108,349
217068,10.1109/L-CA.2011.20,349
217068,10.1109/SAMOS.2011.6045465,349
217068,22438728,349
217068,10.1109/TPDS.2011.79,349
217068,10.1109/DAC.2008.4555832,349
217068,10.1109/ISBI.2011.5872681,349
217068,10.1007/s11265-007-0131-0,349
217068,10.1016/j.parco.2014.04.001,349
217068,10.1109/SIES.2011.5953688,349
217068,10.1007/978-3-642-19137-4_16,349
217068,10.1109/SCC.2008.152,349
217068,10.1145/2038698.2038708,349
217068,10.1109/IOLTS.2011.5993817,349
217068,10.1145/1944862.1944885,349
217068,10.1109/DATE.2008.4484852,349
217068,10.1145/2023607.2023616,349
217068,10.1109/DSD.2011.93,349
217068,10.1109/DASIP.2011.6136852,349
217068,10.1109/ICPP.2011.63,349
217068,10.1016/j.osn.2011.03.004,349
217068,10.1109/TSMCC.2011.2114880,349
217068,10.1007/978-3-642-19137-4_6,349
217068,10.1145/1995896.1995954,349
217068,10.1109/ICRA.2011.5979570,349
217068,10.1007/978-3-540-77560-7_5,349
217068,10.1109/CCGRID.2008.64,349
217068,10.1109/DSD.2011.65,349
217068,10.1145/1369396.1369401,349
217068,10.1109/DSD.2011.17,349
217068,10.1145/1993478.1993495,349
217068,10.1109/ECCTD.2011.6043614,349
217068,10.1109/ISPA.2011.62,349
217068,10.1109/ASAP.2011.6043236,349
217068,10.1109/FOCS.2011.89,349
217068,10.1109/MM.2011.58,349
217068,10.1007/978-3-642-23400-2_52,349
217068,10.1109/DASIP.2011.6136890,349
217068,10.1145/1944862.1944869,349
217068,10.1007/978-3-642-25821-3_10,349
217068,10.1007/978-3-642-19448-1_9,349
217068,10.1145/2038642.2038672,349
217068,10.1109/HOTI.2008.18,349
217068,10.1007/978-3-540-70550-5,349
217068,10.1016/j.compfluid.2012.02.004,349
